Temperature,Average Magnetisation,Magnetic Susceptibility,Average Energy,Heat Capacity
3.000000000000000000e+00,5.859999999999999654e-01,3.404095346666666799e+00,-8.168000000000000682e+01,3.948017777777770299e-01
2.899999999999999911e+00,3.161999999999999922e+00,4.816681917241378841e+00,-8.829200000000000159e+01,5.107000428061836406e-01
2.799999999999999822e+00,3.656000000000000139e+00,5.677605942857142374e+00,-9.207599999999999341e+01,6.007477346938802087e-01
2.699999999999999734e+00,2.240000000000000047e-01,7.638391940740740793e+00,-9.926399999999999579e+01,7.818303209876555915e-01
2.599999999999999645e+00,5.001999999999999780e+00,1.019027690769231143e+01,-1.078760000000000048e+02,9.917642366863895775e-01
2.499999999999999556e+00,3.592000000000000082e+00,1.358871014400000377e+01,-1.175799999999999983e+02,1.145983360000001783e+00
2.399999999999999467e+00,7.403999999999999915e+00,1.852081993333333898e+01,-1.293439999999999941e+02,1.319475111111110266e+00
2.299999999999999378e+00,2.815599999999999881e+01,2.250674636521739558e+01,-1.452719999999999914e+02,1.188502865784504259e+00
2.199999999999999289e+00,2.287600000000000122e+01,2.821643920000000705e+01,-1.550999999999999943e+02,1.202723140495873144e+00
2.099999999999999201e+00,5.857399999999999807e+01,2.003902154285715298e+01,-1.652280000000000086e+02,8.640272471655294773e-01
1.999999999999999112e+00,9.178799999999999670e+01,2.438952800000062093e-01,-1.753959999999999866e+02,6.638479600000124492e-01
