Temperature,Average Magnetisation,Magnetic Susceptibility,Average Energy,Heat Capacity
3.000000000000000000e+00,9.050000000000000711e+00,3.695131399999999733e+00,-2.041903999999999996e+03,3.789563904000032291e-01,1.764888298716447979e-02
2.899999999999999911e+00,6.725999999999999979e+00,4.463189644689655289e+00,-2.150835999999999785e+03,4.440658789061178169e-01,1.890346636748117815e-02
2.799999999999999822e+00,1.883800000000000097e+01,6.403333393714286004e+00,-2.271079999999999927e+03,5.116204897959109044e-01,2.212539322429918701e-02
2.699999999999999734e+00,2.714799999999999969e+01,9.950397940148148379e+00,-2.413295999999999822e+03,6.369878948697583754e-01,2.772286027162636571e-02
2.599999999999999645e+00,3.657999999999999829e+01,1.330431870769231040e+01,-2.569804000000000087e+03,6.466779635502742929e-01,2.823314417664478035e-02
2.499999999999999556e+00,1.120000000000000107e+00,2.238961689599999971e+01,-2.758215999999999894e+03,8.260660060160162077e-01,3.640617652824910955e-02
2.399999999999999467e+00,2.664879999999999995e+02,4.368588297600000914e+01,-3.007867999999999938e+03,1.046917678888939385e+00,4.764126965624111698e-02
2.299999999999999378e+00,1.388983999999999924e+03,3.693193317286962696e+01,-3.452215999999999894e+03,1.868307700869549004e+00,7.938949006098647287e-02
2.199999999999999289e+00,1.905102000000000089e+03,1.454998356290907147e+01,-3.857039999999999964e+03,1.622786644628072317e+00,7.404813087355663348e-02
2.099999999999999201e+00,2.169032000000000153e+03,8.866756144760268299e-01,-4.150775999999999840e+03,9.504571268935601003e-01,4.127473629235208635e-02
1.999999999999999112e+00,2.279190000000000055e+03,3.386471799999476451e-01,-4.364296000000000276e+03,6.568808383997535305e-01,2.741448352070623845e-02
1.899999999999999023e+00,2.343960000000000036e+03,2.402859789472270857e-01,-4.521975999999999658e+03,5.772515705269135600e-01,2.708896834471470963e-02
1.799999999999998934e+00,2.392175999999999931e+03,1.077015608890603687e-01,-4.648020000000000437e+03,4.271821728390128858e-01,1.901452863085386497e-02
1.699999999999998845e+00,2.426326000000000022e+03,6.888887623522216286e-02,-4.748068000000000211e+03,3.451630970237581364e-01,1.487728265473689526e-02
1.599999999999998757e+00,2.449217999999999847e+03,4.316211900021884457e-02,-4.821359999999999673e+03,2.586610000004297416e-01,1.084692091724081403e-02
1.499999999999998668e+00,2.465981999999999971e+03,2.685751360009116379e-02,-4.877239999999999782e+03,1.909984711117218015e-01,7.857270777917242308e-03
1.399999999999998579e+00,2.478148000000000138e+03,1.725545599976822247e-02,-4.919203999999999724e+03,1.458527314290407328e-01,7.372390385874907914e-03
1.299999999999998490e+00,2.486702000000000226e+03,1.002559876900453902e-02,-4.950195999999999913e+03,9.541528615373148781e-02,4.017048672358940718e-03
1.199999999999998401e+00,2.492512000000000171e+03,5.677951999939985506e-03,-4.971283999999999651e+03,6.614648444578069553e-02,2.939198666519109941e-03
1.099999999999998312e+00,2.496085999999999785e+03,3.204583273353906348e-03,-4.984775999999999840e+03,4.276027239797542540e-02,2.027966711961333608e-03
9.999999999999982236e-01,2.498211999999999989e+03,1.556422400102022057e-03,-4.992984000000000378e+03,2.342069759815939775e-02,1.339797724564681467e-03
