Temperature,Average Magnetisation,Magnetic Susceptibility,Average Energy,Heat Capacity
2.500000000000000000e+00,3.668399999999999750e+01,2.052315842304000171e+01,-2.765231999999999971e+03,8.542915952640175448e-01,3.664339077321597526e-02
2.475000000000000089e+00,4.833200000000000074e+01,2.755746291329293030e+01,-2.820007999999999811e+03,9.236122639568322690e-01,4.394408503750345946e-02
2.450000000000000178e+00,2.026100000000000136e+02,3.878996635102041068e+01,-2.889376000000000204e+03,1.065138767113639640e+00,5.017627582766354122e-02
2.425000000000000266e+00,1.985399999999999920e+01,4.267046906127833950e+01,-2.932552000000000135e+03,1.064129564187417332e+00,4.510869577464680924e-02
2.400000000000000355e+00,1.625819999999999936e+02,4.175491354599999028e+01,-3.011436000000000149e+03,1.076116798888865800e+00,4.877685634093360117e-02
2.375000000000000444e+00,2.830799999999999841e+02,7.118314873263157949e+01,-3.079063999999999851e+03,1.310238060782292102e+00,5.846840682373623949e-02
2.350000000000000533e+00,3.121220000000000141e+02,9.946300818995743498e+01,-3.174496000000000095e+03,1.303530935916682898e+00,6.141088506400897706e-02
2.325000000000000622e+00,2.864060000000000059e+02,1.813329436841289635e+02,-3.282992000000000189e+03,1.832455039777869388e+00,8.562502658561488289e-02
2.300000000000000711e+00,9.833079999999999927e+02,7.256804471930429656e+01,-3.369135999999999967e+03,1.976215160983016528e+00,8.165749343756163736e-02
2.275000000000000799e+00,8.248260000000000218e+02,2.590823500174065543e+02,-3.512936000000000149e+03,2.281155988233212639e+00,9.442046912003886072e-02
2.250000000000000888e+00,1.761307999999999993e+03,1.125648091306661236e+01,-3.677275999999999840e+03,1.832177763871644549e+00,7.530627408790444011e-02
2.225000000000000977e+00,1.708453999999999951e+03,6.887715054094385891e+01,-3.753943999999999960e+03,2.184381395399590975e+00,1.013590127694113108e-01
2.200000000000001066e+00,1.738157999999999902e+03,7.261239909745452792e+01,-3.825599999999999909e+03,2.146874710743829073e+00,1.047170544905521028e-01
2.175000000000001155e+00,2.051583999999999833e+03,1.677306656367990367e+00,-3.954784000000000106e+03,1.160297368233482063e+00,4.744437662917491694e-02
2.150000000000001243e+00,2.094557999999999993e+03,1.610543002046470606e+00,-4.027519999999999982e+03,1.072579911303493283e+00,4.283204275839680442e-02
2.125000000000001332e+00,2.136831999999999880e+03,1.179028287247173123e+00,-4.094179999999999836e+03,1.008296269065862338e+00,4.418826504217171491e-02
2.100000000000001421e+00,2.175623999999999796e+03,8.129559283811770287e-01,-4.158492000000000189e+03,9.498018989568380865e-01,3.896180565253506978e-02
2.075000000000001510e+00,2.203994000000000142e+03,6.837397520962245068e-01,-4.210847999999999956e+03,8.822944772013339154e-01,3.814478535780504997e-02
2.050000000000001599e+00,2.232958000000000084e+03,4.963258997071076650e-01,-4.265095999999999549e+03,8.012159223325321378e-01,3.510955946656844906e-02
2.025000000000001688e+00,2.256199999999999818e+03,4.291555555556655355e-01,-4.316688000000000102e+03,7.956397530618649627e-01,3.483668446147332454e-02
2.000000000000001776e+00,2.276418000000000120e+03,4.365114551998671155e-01,-4.363587999999999738e+03,7.451782255999730431e-01,3.485334479170159455e-02
1.975000000000001865e+00,2.299844000000000051e+03,3.400521851138597618e-01,-4.411528000000000247e+03,6.702910652521258950e-01,2.938573356222703645e-02
