Temperature,Average Magnetisation,Magnetic Susceptibility,Average Energy,Heat Capacity
3.000000000000000000e+00,nan,nan,-2.033211999999999989e+03,4.006052913777737312e-01
2.899999999999999911e+00,nan,nan,-2.142420000000000073e+03,4.501132746730066025e-01
2.799999999999999822e+00,nan,nan,-2.262052000000000135e+03,4.993386375509697439e-01
2.699999999999999734e+00,nan,nan,-2.394295999999999822e+03,5.673810910288403786e-01
2.599999999999999645e+00,nan,nan,-2.547623999999999796e+03,7.241686759764032200e-01
2.499999999999999556e+00,nan,nan,-2.752487999999999829e+03,8.605072547841073893e-01
2.399999999999999467e+00,nan,nan,-2.970652000000000044e+03,1.020479367777783253e+00
2.299999999999999378e+00,nan,nan,-3.258235999999999876e+03,1.139181270623872422e+00
2.199999999999999289e+00,nan,nan,-3.527231999999999971e+03,1.180420675702578581e+00
2.099999999999999201e+00,nan,nan,-3.821315999999999804e+03,9.093845028573835920e-01
1.999999999999999112e+00,nan,nan,-4.003052000000000135e+03,9.832461295999596063e-01
1.899999999999999023e+00,nan,nan,-4.168359999999999673e+03,7.004505706374176688e-01
1.799999999999998934e+00,nan,nan,-4.292095999999999549e+03,5.325183683955748704e-01
1.699999999999998845e+00,nan,nan,-4.401020000000000437e+03,3.695080415223920278e-01
1.599999999999998757e+00,nan,nan,-4.492771999999999935e+03,3.245043775002710018e-01
1.499999999999998668e+00,nan,nan,-4.570600000000000364e+03,2.346367999997407972e-01
1.399999999999998579e+00,nan,nan,-4.624507999999999811e+03,1.771783542861139205e-01
1.299999999999998490e+00,nan,nan,-4.665076000000000022e+03,1.592753192897030101e-01
1.199999999999998401e+00,nan,nan,-4.698948000000000320e+03,1.065592488884514744e-01
1.099999999999998312e+00,nan,nan,-4.722404000000000451e+03,8.497612694078267304e-02
9.999999999999982236e-01,nan,nan,-4.733680000000000291e+03,6.833663999885344897e-02
